d,location_code,sku,units_sold,on_hand_units,on_order_units,in_transit_units,on_hand_units_sim
2023-11-10,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-11,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-12,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-13,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-14,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-15,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-16,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-17,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-18,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-19,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-20,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-21,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-22,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-23,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-24,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-25,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-26,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-27,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-28,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-29,98274.0,9009752170345.0,0.0,16.0,0,0,13.0
2023-11-30,98274.0,9009752170345.0,1.0,16.0,0,0,13.0
2023-12-01,98274.0,9009752170345.0,0.0,16.0,0,0,12.0
2023-12-02,98274.0,9009752170345.0,0.0,16.0,0,0,12.0
2023-12-03,98274.0,9009752170345.0,0.0,16.0,0,0,12.0
2023-12-04,98274.0,9009752170345.0,0.0,16.0,0,0,12.0
2023-12-05,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-06,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-07,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-08,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-09,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-10,98274.0,9009752170345.0,0.0,15.0,0,0,12.0
2023-12-11,98274.0,9009752170345.0,1.0,15.0,0,0,12.0
2023-12-12,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-13,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-14,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-15,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-16,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-17,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-18,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-19,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-20,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-21,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-22,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-23,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-24,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-25,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-26,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-27,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-28,98274.0,9009752170345.0,0.0,14.0,0,0,11.0
2023-12-29,98274.0,9009752170345.0,1.0,14.0,0,0,11.0
2023-12-30,98274.0,9009752170345.0,0.0,13.0,0,0,10.0
2023-12-31,98274.0,9009752170345.0,0.0,13.0,0,0,10.0
2023-01-01,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-02,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-03,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-04,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-05,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-06,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-07,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-08,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-09,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-10,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-11,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-12,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-13,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-14,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-15,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-16,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-17,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-18,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-19,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-20,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-21,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-22,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-23,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-24,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-25,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-26,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-27,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-28,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-29,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-30,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-01-31,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-01,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-02,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-03,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-04,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-05,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-06,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-02-07,98274.0,9009752170642.0,1.0,6.0,0,0,6.0
2023-02-08,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-09,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-10,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-11,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-12,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-13,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-14,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-15,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-16,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-17,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-18,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-19,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-20,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-21,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-22,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-23,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-24,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-25,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-26,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-27,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-02-28,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-01,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-02,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-03,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-04,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-05,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-06,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-07,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-08,98274.0,9009752170642.0,0.0,5.0,0,0,5.0
2023-03-09,98274.0,9009752170642.0,1.0,5.0,0,0,5.0
2023-03-10,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-11,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-12,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-13,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-14,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-15,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-16,98274.0,9009752170642.0,0.0,4.0,0,0,4.0
2023-03-17,98274.0,9009752170642.0,1.0,4.0,0,0,4.0
2023-03-18,98274.0,9009752170642.0,0.0,3.0,0,0,3.0
2023-03-19,98274.0,9009752170642.0,0.0,3.0,0,0,3.0
2023-03-20,98274.0,9009752170642.0,0.0,3.0,0,0,3.0
2023-03-21,98274.0,9009752170642.0,0.0,3.0,0,0,3.0
2023-03-22,98274.0,9009752170642.0,0.0,3.0,0,0,3.0
2023-03-23,98274.0,9009752170642.0,0.0,3.0,0,0,6.0
2023-03-24,98274.0,9009752170642.0,0.0,3.0,0,0,6.0
2023-03-25,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-26,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-27,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-28,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-29,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-30,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-03-31,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-01,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-02,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-03,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-04,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-05,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-06,98274.0,9009752170642.0,0.0,6.0,0,0,6.0
2023-04-07,98274.0,9009752170642.0,2.0,6.0,0,0,6.0
2023-04-08,98274.0,9009752170642.0,2.0,4.0,0,0,4.0
2023-04-09,98274.0,9009752170642.0,0.0,2.0,0,0,2.0
2023-04-10,98274.0,9009752170642.0,0.0,2.0,0,0,2.0
2023-04-11,98274.0,9009752170642.0,0.0,2.0,0,0,2.0
2023-04-12,98274.0,9009752170642.0,0.0,2.0,0,0,2.0
2023-04-13,98274.0,9009752170642.0,0.0,2.0,0,0,2.0
2023-04-14,98274.0,9009752170642.0,0.0,2.0,0,0,5.0
2023-04-15,98274.0,9009752170642.0,0.0,2.0,0,0,5.0
2023-04-16,98274.0,9009752170642.0,0.0,2.0,0,0,5.0
2023-04-17,98274.0,9009752170642.0,0.0,2.0,0,0,5.0
2023-04-18,98274.0,9009752170642.0,0.0,2.0,0,0,5.0
2023-04-19,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-20,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-21,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-22,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-23,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-24,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-25,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-26,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-27,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-28,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-29,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-04-30,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-01,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-02,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-03,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-04,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-05,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-06,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-07,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-08,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-09,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-10,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-11,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-12,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-13,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-14,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-15,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-16,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-17,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-18,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-19,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-20,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-21,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-22,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-23,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-24,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-25,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-26,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-27,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-28,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-29,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-30,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-05-31,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-01,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-02,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-03,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-04,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-05,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-06,98274.0,9009752170642.0,0.0,11.0,0,0,5.0
2023-06-07,98274.0,9009752170642.0,4.0,11.0,0,0,5.0
2023-06-08,98274.0,9009752170642.0,0.0,11.0,0,0,1.0
2023-06-09,98274.0,9009752170642.0,0.0,11.0,0,0,1.0
2023-06-10,98274.0,9009752170642.0,0.0,11.0,0,0,1.0
2023-06-11,98274.0,9009752170642.0,0.0,11.0,0,0,1.0
2023-06-12,98274.0,9009752170642.0,0.0,11.0,0,0,1.0
2023-06-13,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-14,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-15,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-16,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-17,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-18,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-19,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-20,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-21,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-22,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-23,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-24,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-25,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-26,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-27,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-28,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-29,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-06-30,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-01,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-02,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-03,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-04,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-05,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-06,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-07,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
2023-07-08,98274.0,9009752170642.0,0.0,7.0,0,0,4.0
